"id","name","description","id_ctlg_sales","id_ctlg_recipe","id_ctlg_symptom","id_ctlg_state_matter","id_ctlg_pharmaceutical_forms","id_ctlg_type_pharma","create_","update_","delete_"
"6","ibuprofeno","su efecto antiinflamatorio es eficaz cuando los dolores de cabeza son moderados o fuertes.el paracetamol igual está recomendado para casos de cefalea tensional de carácter leve, pero ten cuidado, es un medicamento muy perjudicial para riñones, hígado y sistema digestivo.","1","1","1","2","1","106","2022-08-03 10:15:46","2022-08-03 10:15:46","2022-08-03 10:15:46"
"7","aspirina","la aspirina pertenece al grupo de antiinflamatorio no esteroideo, aine, este antibiotico para la fiebre tiene características analgésica, antiinflamatorio y antipirético, por lo que consigue calmar el dolor, disminuir la inflamación y bajar la fiebre.","2","2","1","1","1","2","2022-08-03 10:15:46","2022-08-03 10:15:46","2022-08-03 10:15:46"
"8","acetaminofeno","los dolores musculares son comunes y pueden comprometer más de un músculo. el dolor muscular también puede involucrar ligamentos, tendones y fascia. Las fascias son los tejidos blandos que conectan los músculos, huesos y órganos.","2","1","3","2","1","9","2022-08-03 10:17:29","2022-08-03 10:17:29","2022-08-03 10:17:29"
"9","lorazepam","Dependiendo de su situación, se podrían aconsejar medicamentos para el periodo de tiempo a corto plazo o a largo plazo. En general, las personas que son tratadas durante un periodo más largo de tiempo por lo general tienen un índice más bajo de reaparición. Probablemente se recomendarán medicamentos si la ansiedad altera su capacidad para funcionar.

lorazepam es un medicamento ansiolítico relativamente nuevo que se cree que aumenta la actividad de la serotonina, un neurotransmisor involucrado en regularizar la ansiedad y el estado de ánimo. tarda un lapso de dos semanas en hacer efecto. por esta razón, no es útil para tratar la ansiedad aguda y el insomnio. las principales ventajas de lorazepamson que no es sedante y no provoca dependencia física o tolerancia en comparación con las benzodiazepinas.","2","1","8","1","1","5","2022-08-03 10:18:45","2022-08-03 10:18:45","2022-08-03 10:18:45"
"10","naproxeno","el naproxeno es un medicamento antinflamatorio no esteroideo que se emplea en el tratamiento del dolor leve a moderado, la fiebre, la inflamación y la rigidez provocados por afecciones como artrosis, artritis psoriásica, espondilitis anquilosante, tendinitis y bursitis","2","1","10","1","1","9","2022-08-03 10:19:56","2022-08-03 10:19:56","2022-08-03 10:19:56"
"11","diacepam"," las benzodiacepinas son los fármacos utilizados para la sedación consciente, ya que son los más eficaces para reducir la ansiedad.","2","1","11","1","1","9","2022-08-03 10:21:05","2022-08-03 10:21:05","2022-08-03 10:21:05"
"12","ambroxol ","el ambroxol es un fármaco con propiedades expectorantes, antitusivas y antinflamatorias, perteneciente al conjunto de los llamados mucolíticos. se usa además en el tratamiento para el asma bronquial, sinusitis, laringitis, rinitis seca y otras enfermedades relacionadas con el sistema respiratorio.","2","1","12","1","1","9","2022-08-03 11:30:11","2022-08-03 11:30:11","2022-08-03 11:30:11"
"13","fenol","el fenol se usa en productos químicos para matar bacterias y hongos en cieno, como desinfectante y antiséptico y en preparaciones tales como enjuagadientes y pastillas para el dolor de garganta.","2","1","13","1","1","9","2022-08-03 12:08:57","2022-08-03 12:08:57","2022-08-03 12:08:57"
"14","tramadol","el dolor de espalda agudo a menudo desaparece por sí solo a lo largo de varias semanas. en algunas personas, el dolor de espalda persiste. es posible que su dolor no desaparezca completamente o que empeore por momentos.","2","1","15","3","1","9","2022-08-03 12:08:57","2022-08-03 12:08:57","2022-08-03 12:08:57"
"15","butilescopolamina","la butilescopolamina es un antiespasmódico abdominal derivado de la escopolamina que se utiliza para tratar el dolor y las molestias causadas por cólicos abdominales u otras actividades espasmódicas del aparato digestivo","1","2","16","1","1","9","2022-08-03 12:12:24","2022-08-03 12:12:24","2022-08-03 12:12:24"
"16","paracetamol","dentro de los analgésicos encontramos el paracetamol para los dolores de dientes. por otro lado, tenemos los antiinflamatorios que además de un efecto analgésico también ayudan a disminuir la inflamación.","2","1","17","1","1","9","2022-08-03 12:12:24","2022-08-03 12:12:24","2022-08-03 12:12:24"
"17","lidherma","Contiene aquaporinas que transportan el agua entre las células y mejoran el sistema de hidratación natural y la resistencia de la piel.","1","1","18","1","4","33","2022-08-03 12:24:43","2022-08-03 12:24:43","2022-08-03 12:24:43"
"18","oximetazolina","las fosas nasales, los senos paranasales y la rinofaringe constituyen una unidad funcional de características morfológicas complicadas. además de desarrollar la función olfativa y de ser la vía natural de respiración, tiene otras que no son baladíes. por un lado, prepara el aire para una correcta función pulmonar, lo purifica, lo humedece y lo calienta.","1","1","19","1","1","3","2022-08-03 12:24:43","2022-08-03 12:24:43","2022-08-03 12:24:43"
"19","herbafriol","la fatiga es una falta de energía y de motivación. la somnolencia y la apatía (un sentimiento de no importarle qué suceda) pueden ser síntomas que acompañan a la fatiga. la fatiga puede ser una respuesta normal e importante al esfuerzo físico, al estrés emocional, al aburrimiento o a la falta de sueño.
soluciones pueden ser: 
seguir una dieta equilibrada.
reducir la ingesta de alcohol.
reducir la cafeína.
añadir el ejercicio en su rutina diaria.
lidiar con cualquier fuente de estrés en su vida.
dormir cuanto más pueda.","2","1","21","1","3","2","2022-08-03 12:26:57","2022-08-03 12:26:57","2022-08-03 12:26:57"
"20","loperamida ","en la mayoría de los casos, puede tratar la diarrea aguda con medicinas de venta libre como la loperamida nhexternal (imodium) y el subsalicilato de bismuto nih external (pepto-bismol, kaopectate). generalmente, los médicos no recomiendan las medicinas de venta libre para las personas que tienen sangre en las heces o fiebre, señales de infección por bacteria o parásitos. Si la diarrea dura más de 2 días, consulte con un médico de inmediato.","1","1","22","1","6","86","2022-08-03 12:35:53","2022-08-03 12:35:53","2022-08-03 12:35:53"
"21","crema corporal de ozoaqua","la irritación se debe a una inflamación de la piel provocada por agentes externos o bien por sequedad, por lo tanto, es normal que en épocas de mayor frío notemos la piel más tirante e irritada.
la crema corporal de ozono ozoaqua está especialmente elaborada a base de aceites vegetales ozonizados combinados con glicerina, aloe vera y vitamina e.

su perfecta formulación ofrece una acción altamente hidratante y potencia al máximo las propiedades beneficiosas de los aceites de ozono que poseen un elevado poder regenerante, calmante, antioxidante y reparador.","1","1","23","1","1","9","2022-08-03 12:35:53","2022-08-03 12:35:53","2022-08-03 12:35:53"
"22","tramadol","el dolor de espalda agudo a menudo desaparece por sí solo a lo largo de varias semanas. en algunas personas, el dolor de espalda persiste. es posible que su dolor no desaparezca completamente o que empeore por momentos.","1","1","24","2","1","9","2022-08-03 12:36:48","2022-08-03 12:36:48","2022-08-03 12:36:48"
